tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
139.0,0.00995950202923268,-8.21156790466554e-06,-8.122484483587368e-07,-3.148718119220335e-07,2.7022337436725925e-07,-1.20071566579218e-07
140.0,0.009836744982749224,2.94860134162636e-05,-2.7852291384381054e-06,-3.122136935000048e-07,-9.033786392883096e-07,-1.2806144742835664e-07
141.0,0.009706118027679622,4.521458452028255e-05,3.6403724764309244e-07,-3.2098199319662174e-07,4.615360089237922e-07,-1.550952101801693e-07
142.0,0.01008544396609068,6.139726370489957e-06,-3.3140162560326987e-07,-3.163271976402877e-07,1.2880808382640868e-07,-1.5142373291749502e-07
143.0,0.01054558192845434,1.4061780079348759e-05,-2.822503566594361e-07,-3.149688414392491e-07,2.168446701377949e-07,-1.5491855591151726e-07
144.0,0.009669785969890654,1.6320452264229193e-05,3.911597812620097e-07,-3.128719998903051e-07,5.03917232423249e-07,-1.576478564503393e-07
145.0,0.009757802006788552,7.657821666356914e-06,-2.1775866571737607e-07,-3.0795487530851016e-07,6.452392237851142e-07,-1.538309967517659e-07
146.0,0.010567766963504255,3.0251198248166454e-05,-1.7753254519233545e-06,-3.011361375558367e-07,-4.0445917086827073e-07,-1.5613221958535073e-07
147.0,0.00916101795155555,3.799924638195233e-05,3.917195194547747e-07,-3.048413952808322e-07,4.999721564768513e-07,-1.7239600792027406e-07
148.0,0.010507102007977664,9.707357977388828e-06,-8.08003628085498e-07,-2.9958813683158133e-07,6.932182617034089e-07,-1.6828017097084675e-07
149.0,0.010705208987928927,5.128343237857438e-05,2.910135875432603e-06,-2.9216709046579753e-07,1.6422023530378754e-06,-1.769300186725068e-07
150.0,0.00970672897528857,-2.0596593265796072e-05,2.0192089876568075e-07,-2.7622667730227773e-07,5.328764224579283e-07,-1.4868211844841838e-07
151.0,0.009560027974657714,1.5230524884794084e-05,-1.9086240775065452e-07,-2.711323637965444e-07,8.267126549854911e-07,-1.4675174900755046e-07
152.0,0.009477216051891446,3.7323007972712824e-05,4.17693759709641e-07,-2.632974293524141e-07,6.821806952080144e-07,-1.485605932819876e-07
153.0,0.010893685976043344,1.5117644539584984e-05,-1.8577227910897858e-07,-2.558659670798991e-07,4.03492020661958e-07,-1.4401036862955786e-07
154.0,0.009630916058085859,2.2388684107298055e-05,1.2208021716162745e-06,-2.5197996929879633e-07,8.775035924401125e-07,-1.4579952585557574e-07
155.0,0.009950445964932442,-7.493116287769308e-07,-3.909110852191101e-07,-2.432484172181869e-07,8.553070348247276e-07,-1.3365199981303583e-07
