tick,tick_dt,input_force,output_speed,output_angle,output_ang_vel,output_position
167.0,0.009540872648358345,5.083304102262513,1.7378556319850438,0.23580703879282766,3.0577894294511094,0.13917247919410225
168.0,0.010721678845584393,5.083304102262513,1.8462310710386896,0.2685916750328252,3.2737912531068645,0.157805209160236
169.0,0.010384182445704937,5.083304102262513,1.949872756873873,0.3025873206942399,3.484437550694317,0.17697680943883098
170.0,0.009669446386396885,5.083304102262513,2.044838117700924,0.33627990277742664,3.6813055727791477,0.19583099952171878
171.0,0.009263450279831886,5.083304102262513,2.1340673834282047,0.37038149391573433,3.870023521138155,0.2147732557553463
172.0,0.010834253393113613,5.083304102262513,2.235730648831652,0.4123103093810549,4.08983600607073,0.23789428254538642
173.0,0.00955192930996418,5.083304102262513,2.322534089899941,0.45137613380038877,4.282406955191465,0.2592498236591467
174.0,0.00958444643765688,5.083304102262513,2.406509698481249,0.4924206338866707,4.47367261296964,0.2815100272434249
175.0,0.010441496968269348,5.083304102262513,2.4938649935602286,0.5391324729120228,4.6786925225542895,0.30663759096422766
176.0,0.010325144976377487,5.083304102262513,2.5755359721928044,0.5874406515072892,4.877535511666333,0.33238710857424975
177.0,0.009527170099318027,5.083304102262513,2.646369049761221,0.6339097619923986,5.05740951663308,0.356924677878243
178.0,0.009843667037785053,5.083304102262513,2.714514541767693,0.68369321734786,5.238703078877004,0.3829746536631921
179.0,0.009967055171728134,5.083304102262513,2.7779288200017005,0.7359076599633292,5.417260715253123,0.410030369865449
180.0,0.010631236247718334,5.083304102262513,2.838950310782454,0.7934998384426687,5.601530265980392,0.4395631874302325
181.0,0.00980289001017809,5.083304102262513,2.889076642044515,0.8484110235287581,5.766895473215766,0.4673931050711938
182.0,0.009887147694826126,5.083304102262513,2.9333783331704,0.9054291708130666,5.928843114165456,0.4959578325327602
183.0,0.00964746531099081,5.083304102262513,2.970436542344472,0.9626274790912845,6.0826818144362145,0.5242574982460337
