tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
88.0,0.009758288972079754,3.422692166828695e-05,1.4355951508517395e-06,-8.770126360075039e-08,-7.98110425959726e-08,7.944136214913517e-07
89.0,0.009702288545668125,-6.988516210052746e-06,4.2341332416936836e-07,-7.377270521242485e-08,-7.210341241565432e-08,5.209935782510191e-07
90.0,0.01028767041862011,1.1219337346438258e-05,1.9579263316707604e-07,-6.941676848251803e-08,-6.674360219239026e-08,2.9419285393573216e-07
91.0,0.009775213897228241,9.385852809396407e-06,4.471522945947686e-07,-6.750285361380832e-08,-6.386780411813246e-08,3.8363242696397306e-07
92.0,0.01004241406917572,5.282979351264507e-06,1.702681856479626e-07,-6.301236511950561e-08,-6.001520843619743e-08,3.829211803479988e-07
93.0,0.010344244539737701,1.296811684018601e-05,-1.6200907892135394e-06,-6.125106936982563e-08,-5.605417810723273e-08,-3.6129210938543086e-07
94.0,0.00943905208259821,3.788644141646284e-05,3.581133450489209e-07,-7.654319070774987e-08,-5.946443314475358e-08,3.565854287968487e-07
95.0,0.00987562071532011,8.206543524094592e-06,-1.8869966655129356e-07,-7.300659913895217e-08,-5.5942930697346116e-08,5.1015560856957e-07
96.0,0.01005319133400917,2.9397588464100965e-05,7.094565009656742e-07,-7.490363299145606e-08,-5.0814238754278344e-08,5.510997576592861e-07
97.0,0.009818287566304207,5.378858364146568e-06,3.6098779715008064e-07,-6.793798504919109e-08,-4.5403382855858914e-08,3.8765886105019386e-07
98.0,0.01077740453183651,9.036520668183166e-06,1.7843240949553347e-06,-6.404747352824813e-08,-4.122542648996998e-08,9.86633238084194e-07
99.0,0.009262943640351295,-1.0714650845031928e-05,1.1116991633848491e-06,-4.751938000055603e-08,-3.2086298411898784e-08,6.976454681922741e-07
100.0,0.010250021703541279,-3.1347055129554374e-06,-5.761101771024663e-07,-3.6124439448052646e-08,-2.4935417221550757e-08,6.27134148486882e-07
